opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
2913.73000000,2940.11000000,2912.53000000,2923.93000000,61.99290000,181562.85091030,122,25.47229000,74556.10107370,56.2273045804931,-88.16069999999999,1
2928.36000000,2935.88000000,2928.00000000,2934.98000000,60.64740000,177888.64049680,119,36.52480000,107114.98104430,53.44879791679291,-78.47500999999998,1
2934.94000000,2944.94000000,2929.06000000,2937.94000000,50.64177000,148783.45123750,83,9.68272000,28447.32725400,52.654814461281475,-126.74255999999997,0
2937.50000000,2938.23000000,2931.54000000,2934.94000000,33.48936000,98267.66379400,33,8.85083000,25969.13143920,45.92748292170257,-214.6127099999999,0
2934.46000000,2941.25000000,2912.57000000,2913.65000000,38.05704000,111612.73802730,67,11.05307000,32475.24237670,28.142458100558937,-213.63824,1
2919.27000000,2926.58000000,2913.23000000,2915.93000000,58.79026000,171512.87868400,95,28.38502000,82808.26525670,44.203137902559945,-104.41382999999998,1
2917.08000000,2932.52000000,2917.08000000,2918.54000000,38.51137000,112565.73184480,88,22.38885000,65428.75970940,49.486918739022066,-41.47094999999999,0
2920.15000000,2930.69000000,2905.59000000,2909.60000000,40.83597000,119043.57388100,79,15.56529000,45416.75097270,46.689635906508954,-212.10913999999994,0
2908.97000000,2917.66000000,2905.50000000,2905.50000000,34.42460000,100187.63411080,57,15.73496000,45788.96100810,55.10679973883044,-129.30685999999997,1
2911.57000000,2924.60000000,2911.57000000,2920.31000000,41.49372000,121055.15240130,68,27.82662000,81157.23688920,56.28122445272046,-127.09076,1
2920.62000000,2932.95000000,2920.62000000,2923.72000000,33.54490000,98181.29525960,72,24.82303000,72651.90428690,38.45702552068048,-235.49742999999998,1
2930.87000000,2933.05000000,2925.62000000,2930.02000000,25.31618000,74153.35702020,53,16.19139000,47425.19708030,37.802768166090075,-188.85187,0
2931.23000000,2931.23000000,2918.94000000,2922.50000000,42.44882000,124097.77858920,70,10.08342000,29479.48949700,40.879326473339475,-180.92023999999998,0
2920.63000000,2920.63000000,2905.64000000,2907.79000000,57.56690000,167709.32710970,100,20.08277000,58483.58743270,47.22782258064515,-69.42302999999998,0
2906.62000000,2906.62000000,2884.57000000,2893.43000000,462.37878000,1336472.31914950,425,52.06518000,150759.49579550,53.22133857564116,-76.65743,0
2893.83000000,2903.74000000,2883.74000000,2883.83000000,62.17610000,179930.46638320,138,31.77729000,92004.19393890,62.99642065791715,422.23833,0
2889.97000000,2899.85000000,2866.66000000,2873.80000000,161.80095000,466816.98480480,349,92.18389000,266061.54068580,72.06834066787478,546.40733,0
2873.49000000,2875.72000000,2848.20000000,2857.33000000,137.82923000,393899.71686320,349,67.94274000,194122.41448510,76.08165256994148,768.85568,0
2854.77000000,2856.32000000,2801.79000000,2823.19000000,376.93596000,1065987.37311110,701,238.24012000,673365.85932150,78.44315766327063,856.0431400000001,1
2821.33000000,2920.82000000,2813.89000000,2907.56000000,505.28473000,1452394.57478150,926,284.46096000,817845.99599670,80.29876741693468,1199.4897400000002,0
